ano,mes_num,dre_despesa,cash_out,ap_total,ap_realizado,ap_realizado_caixa,gap_competencia_vs_caixa,gap_ap_previsto_vs_realizado,exception_material
2023,11,0,0.0,971307.58,954481.5799999998,0.0,0.0,16826.000000000116,True
2024,2,0,0.0,697286.57,670646.5700000001,0.0,0.0,26639.999999999884,True
2024,11,0,0.0,1353371.13,1328207.5300000003,0.0,0.0,25163.599999999627,True
2025,1,0,0.0,1151363.1500000001,1112276.02,0.0,0.0,39087.13000000012,True
2025,2,0,0.0,841362.6,813793.6799999999,0.0,0.0,27568.920000000042,True
2025,3,0,0.0,1181496.5,1142479.37,0.0,0.0,39017.12999999989,True
2025,4,0,0.0,1322794.45,1294974.6500000001,0.0,0.0,27819.799999999814,True
2025,5,0,0.0,1729054.42,1523786.37,0.0,0.0,205268.0499999998,True
2025,6,0,0.0,1318495.53,1292871.5699999998,0.0,0.0,25623.960000000196,True
2025,7,0,0.0,1054652.82,1018516.51,0.0,0.0,36136.310000000056,True
2025,8,0,0.0,2596145.23,2570521.27,0.0,0.0,25623.959999999963,True
2025,9,0,0.0,1283465.42,1257841.46,0.0,0.0,25623.959999999963,True
2025,10,0,0.0,1642084.06,1615480.3000000003,0.0,0.0,26603.759999999776,True
2025,11,0,0.0,1265003.92,1239379.96,0.0,0.0,25623.959999999963,True
2026,2,0,0.0,1096488.38,898784.54,0.0,0.0,197703.83999999985,True
2026,3,0,54546.44,1130888.45,163713.38999999998,0.0,-54546.44,967175.0599999999,True
2026,4,0,0.0,1322262.92,0.0,0.0,0.0,1322262.92,True
2026,5,0,0.0,902653.88,2408.89,0.0,0.0,900244.99,True
2026,6,0,0.0,771247.3099999999,0.0,0.0,0.0,771247.3099999999,True
2026,7,0,0.0,512030.75,0.0,0.0,0.0,512030.75,True
2026,8,0,0.0,482519.21,0.0,0.0,0.0,482519.21,True
2026,9,0,0.0,436390.94,0.0,0.0,0.0,436390.94,True
2026,10,0,0.0,611125.21,0.0,0.0,0.0,611125.21,True
2026,11,0,0.0,391402.21,0.0,0.0,0.0,391402.21,True
2026,12,0,0.0,336273.21,0.0,0.0,0.0,336273.21,True
2027,1,0,0.0,269802.54,0.0,0.0,0.0,269802.54,True
2027,2,0,0.0,269719.74,0.0,0.0,0.0,269719.74,True
2027,3,0,0.0,189775.64,0.0,0.0,0.0,189775.64,True
2027,4,0,0.0,286435.71,0.0,0.0,0.0,286435.71,True
2027,5,0,0.0,189775.64,0.0,0.0,0.0,189775.64,True
2027,6,0,0.0,192569.80000000002,0.0,0.0,0.0,192569.80000000002,True
2027,7,0,0.0,186263.51,0.0,0.0,0.0,186263.51,True
2027,8,0,0.0,186263.51,0.0,0.0,0.0,186263.51,True
2027,9,0,0.0,186263.51,0.0,0.0,0.0,186263.51,True
2027,10,0,0.0,273017.03,0.0,0.0,0.0,273017.03,True
2027,11,0,0.0,79696.89000000001,0.0,0.0,0.0,79696.89000000001,True
2027,12,0,0.0,79696.89000000001,0.0,0.0,0.0,79696.89000000001,True
2028,1,0,0.0,79696.89000000001,0.0,0.0,0.0,79696.89000000001,True
2028,2,0,0.0,77288.0,0.0,0.0,0.0,77288.0,True
2028,3,0,0.0,77288.0,0.0,0.0,0.0,77288.0,True
2028,4,0,0.0,173948.07,0.0,0.0,0.0,173948.07,True
2028,5,0,0.0,33920.520000000004,0.0,0.0,0.0,33920.520000000004,True
2028,6,0,0.0,33920.520000000004,0.0,0.0,0.0,33920.520000000004,True
2028,7,0,0.0,33920.520000000004,0.0,0.0,0.0,33920.520000000004,True
2028,8,0,0.0,33920.520000000004,0.0,0.0,0.0,33920.520000000004,True
2028,9,0,0.0,33920.520000000004,0.0,0.0,0.0,33920.520000000004,True
2028,10,0,0.0,130580.59000000001,0.0,0.0,0.0,130580.59000000001,True
2028,11,0,0.0,30408.39,0.0,0.0,0.0,30408.39,True
2028,12,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,1,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,2,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,3,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,4,0,0.0,124220.71,0.0,0.0,0.0,124220.71,True
2029,5,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,6,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,7,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,8,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,9,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,10,0,0.0,124220.71,0.0,0.0,0.0,124220.71,True
2029,11,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2029,12,0,0.0,27560.64,0.0,0.0,0.0,27560.64,True
2030,4,0,0.0,106660.07,0.0,0.0,0.0,106660.07,True
2030,10,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2031,4,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2031,10,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2032,4,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2032,10,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2033,4,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2033,10,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2034,4,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
2034,10,0,0.0,96660.07,0.0,0.0,0.0,96660.07,True
