empresa,banco,conta,saldo,data,source_file
CZ,CAIXA,CAIXA,0.00,2026-03-27,manual_bling
CZ,BRADESCO,BRADESCO,5.77,2026-03-27,manual_bling
CZ,CAIXA,CORRENTE CAIXA,-7546.44,2026-03-27,manual_bling
CZ,ITAU,ITAU,6174.00,2026-03-27,manual_bling
CZ,CAIXA,POUPANCA CAIXA,170.64,2026-03-27,manual_bling
CZ,SANTANDER,SANTANDER,688528.82,2026-03-27,manual_bling
CZ,SICOOB,SICOOB,12980.57,2026-03-27,manual_bling
CZ,SICREDI,SICREDI,0.00,2026-03-27,manual_bling
CZ,UNICRED,UNICRED,844.95,2026-03-27,manual_bling
CZ,UNIPRIME,UNIPRIME,-47000.00,2026-03-27,manual_bling
CR,CAIXA,CAIXA,0.00,2026-03-27,manual_bling
CR,ITAU,ITAU,3308.77,2026-03-27,manual_bling
CR,SANTANDER,SANTANDER,8566.75,2026-03-27,manual_bling
CR,SICREDI,SICREDI,165.77,2026-03-27,manual_bling
CR,UNICRED,UNICRED,720.90,2026-03-27,manual_bling
