"status","type","source","destination","note"
"moved","doc","C:\Users\cesar.zarovski\Documents\clear os.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\14_documentacao_corporativa\manuais\legacy_imports\clear os.txt","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\finance.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\indicadores\legacy_imports\finance.txt","ok"
"moved","doc","C:\Users\cesar.zarovski\Documents\finance.doc","C:\Users\cesar.zarovski\Documents\Clear_OS\14_documentacao_corporativa\manuais\legacy_imports\finance.doc","ok"
"moved","dev_prompt","C:\Users\cesar.zarovski\Documents\prompt bcg.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\11_dev_codex_agent\legacy_imports\prompt bcg.txt","ok"
"moved","dev_prompt","C:\Users\cesar.zarovski\Documents\prompt sankra.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\11_dev_codex_agent\legacy_imports\prompt sankra.txt","ok"
"moved","dev_asset","C:\Users\cesar.zarovski\Documents\code.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\11_dev_codex_agent\legacy_imports\code.txt","ok"
"moved","crm","C:\Users\cesar.zarovski\Documents\link drive vendedores clear.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\01_crm_comercial\legacy_imports\link drive vendedores clear.txt","ok"
"moved","dashboard","C:\Users\cesar.zarovski\Documents\Dashboard_Vendas_Clear.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\12_dashboards_interface\painel_comercial\legacy_imports\Dashboard_Vendas_Clear.xlsx","ok"
"moved","crm","C:\Users\cesar.zarovski\Documents\Vendas_Faturadas_NFe_2025.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\01_crm_comercial\indicadores\legacy_imports\Vendas_Faturadas_NFe_2025.xlsx","ok"
"moved","crm","C:\Users\cesar.zarovski\Documents\Vendas_Faturadas_NFe_2025_v2.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\01_crm_comercial\indicadores\legacy_imports\Vendas_Faturadas_NFe_2025_v2.xlsx","ok"
"moved","crm","C:\Users\cesar.zarovski\Documents\Vendas_por_Vendedor_2025.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\01_crm_comercial\indicadores\legacy_imports\Vendas_por_Vendedor_2025.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\DRE_2025_Bling_basico.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\dre\legacy_imports\DRE_2025_Bling_basico.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\DRE_2025_Bling_NFe.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\dre\legacy_imports\DRE_2025_Bling_NFe.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\DRE_Caixa_2025_McKinsey_v2.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\dre\legacy_imports\DRE_Caixa_2025_McKinsey_v2.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\DRE_Caixa_2025_McKinsey_v3.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\dre\legacy_imports\DRE_Caixa_2025_McKinsey_v3.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\Extratos_Itau_2026.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\fluxo_de_caixa\legacy_imports\Extratos_Itau_2026.xlsx","ok"
"moved","finance","C:\Users\cesar.zarovski\Documents\Extratos_Itau_2026_formatado.xlsx","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\fluxo_de_caixa\legacy_imports\Extratos_Itau_2026_formatado.xlsx","ok"
"moved","credential","C:\Users\cesar.zarovski\Documents\bling id.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\00_governanca\politicas_de_acesso\legacy_credenciais\bling id.txt","ok"
"moved","credential","C:\Users\cesar.zarovski\Documents\bob token.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\00_governanca\politicas_de_acesso\legacy_credenciais\bob token.txt","ok"
"moved","credential","C:\Users\cesar.zarovski\Documents\erro token.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\00_governanca\politicas_de_acesso\legacy_credenciais\erro token.txt","ok"
"moved","log","C:\Users\cesar.zarovski\Documents\erro.txt","C:\Users\cesar.zarovski\Documents\Clear_OS\13_logs_monitoramento\logs_integracoes\legacy_imports\erro.txt","ok"
"moved","repo","C:\Users\cesar.zarovski\CRM_Clear_Agro","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\11_dev_codex_agent\repos\CRM_Clear_Agro","ok"
"moved","repo","C:\Users\cesar.zarovski\Finance_Control_Tower","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\11_dev_codex_agent\repos\Finance_Control_Tower","ok"
"moved","pipeline","C:\Users\cesar.zarovski\pipeline","C:\Users\cesar.zarovski\Documents\Clear_OS\11_agentes_automacoes\12_integracoes_agent\pipeline","ok"
"moved","project","C:\Users\cesar.zarovski\projects\finance-recon-hub","C:\Users\cesar.zarovski\Documents\Clear_OS\02_financeiro\dre\finance-recon-hub","ok"
"moved","project","C:\Users\cesar.zarovski\projects\bcg-supply-chain-governance","C:\Users\cesar.zarovski\Documents\Clear_OS\09_diretoria_estrategia\projetos_estrategicos\bcg-supply-chain-governance","ok"
